※ 매월 말일자 통계 현황,,,,,,,
,,2021년05월,,,,,
행정기관코드,행정기관,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
4157025600,경기도 김포시 양촌읍,"29,052","14,184",2.05,"15,340","13,712",1.12
4157034000,경기도 김포시 대곶면,"9,788","5,537",1.77,"5,747","4,041",1.42
4157035000,경기도 김포시 월곶면,"5,484","3,162",1.73,"3,017","2,467",1.22
4157036000,경기도 김포시 하성면,"8,192","4,142",1.98,"4,459","3,733",1.19
4157051500,경기도 김포시 김포본동,"61,588","23,346",2.64,"30,334","31,254",0.97
4157052500,경기도 김포시 장기본동,"39,090","13,600",2.87,"19,047","20,043",0.95
4157054000,경기도 김포시 사우동,"22,806","9,936",2.3,"11,448","11,358",1.01
4157055000,경기도 김포시 풍무동,"62,056","23,526",2.64,"30,293","31,763",0.95
4157056000,경기도 김포시 장기동,"41,337","15,988",2.59,"20,262","21,075",0.96
4157057000,경기도 김포시 구래동,"43,571","19,001",2.29,"21,700","21,871",0.99
4157057500,경기도 김포시 마산동,"34,926","14,698",2.38,"17,290","17,636",0.98
4157058000,경기도 김포시 운양동,"49,728","18,634",2.67,"24,345","25,383",0.96
4159000000,경기도 화성시 ,"867,819","361,285",2.4,"450,855","416,964",1.08
4159025300,경기도 화성시 봉담읍,"82,113","33,327",2.46,"41,685","40,428",1.03
4159025600,경기도 화성시 우정읍,"17,419","8,803",1.98,"9,509","7,910",1.2
4159025900,경기도 화성시 향남읍,"87,411","39,460",2.22,"46,831","40,580",1.15
4159026200,경기도 화성시 남양읍,"42,379","20,553",2.06,"23,164","19,215",1.21
4159031000,경기도 화성시 매송면,"7,084","3,552",1.99,"3,763","3,321",1.13
4159032000,경기도 화성시 비봉면,"5,822","3,042",1.91,"3,299","2,523",1.31
4159033000,경기도 화성시 마도면,"6,956","4,000",1.74,"4,169","2,787",1.5
4159034000,경기도 화성시 송산면,"10,923","5,560",1.96,"5,906","5,017",1.18
4159035000,경기도 화성시 서신면,"7,103","3,916",1.81,"3,924","3,179",1.23
4159036000,경기도 화성시 팔탄면,"9,953","6,157",1.62,"6,024","3,929",1.53
4159037000,경기도 화성시 장안면,"10,324","5,623",1.84,"5,951","4,373",1.36
4159040000,경기도 화성시 양감면,"4,024","2,399",1.68,"2,480","1,544",1.61
4159041000,경기도 화성시 정남면,"11,498","6,314",1.82,"6,651","4,847",1.37
4159051500,경기도 화성시 새솔동,"21,965","7,287",3.01,"11,014","10,951",1.01
4159052000,경기도 화성시 진안동,"43,698","20,570",2.12,"23,648","20,050",1.18
4159053000,경기도 화성시 병점1동,"34,576","14,305",2.42,"17,788","16,788",1.06
4159054000,경기도 화성시 병점2동,"24,110","8,778",2.75,"11,746","12,364",0.95
4159055000,경기도 화성시 반월동,"32,224","11,086",2.91,"16,297","15,927",1.02
4159056000,경기도 화성시 기배동,"13,560","4,880",2.78,"6,945","6,615",1.05
4159057000,경기도 화성시 화산동,"23,008","9,990",2.3,"12,158","10,850",1.12
4159058500,경기도 화성시 동탄1동,"51,314","20,715",2.48,"26,456","24,858",1.06
4159058600,경기도 화성시 동탄2동,"35,598","11,846",3.01,"17,553","18,045",0.97
4159058700,경기도 화성시 동탄3동,"42,123","17,415",2.42,"21,735","20,388",1.07
4159058800,경기도 화성시 동탄4동,"52,952","16,486",3.21,"26,365","26,587",0.99
4159059000,경기도 화성시 동탄5동,"43,498","18,716",2.32,"21,894","21,604",1.01
4159060000,경기도 화성시 동탄6동,"32,790","14,138",2.32,"16,996","15,794",1.08
4159061000,경기도 화성시 동탄7동,"84,991","31,528",2.7,"42,587","42,404",1
4159062000,경기도 화성시 동탄8동,"28,403","10,839",2.62,"14,317","14,086",1.02
4159200000,경기도 화성시동부출장소 ,0,0,0,0,0,0
4159400000,경기도 화성시동탄출장소 ,0,0,0,0,0,0
4161000000,경기도 광주시 ,"384,306","165,450",2.32,"196,393","187,913",1.05
4161025000,경기도 광주시 오포읍,"113,000","48,883",2.31,"57,183","55,817",1.02
4161025300,경기도 광주시 초월읍,"46,651","20,173",2.31,"24,285","22,366",1.09
4161025900,경기도 광주시 곤지암읍,"23,207","11,399",2.04,"12,383","10,824",1.14
4161033000,경기도 광주시 도척면,"9,506","4,979",1.91,"5,235","4,271",1.23
4161034000,경기도 광주시 퇴촌면,"15,455","7,302",2.12,"7,876","7,579",1.04
4161035000,경기도 광주시 남종면,"1,499",798,1.88,781,718,1.09
4161037000,경기도 광주시 남한산성면,"2,580","1,268",2.03,"1,365","1,215",1.12
4161051000,경기도 광주시 경안동,"24,926","11,500",2.17,"12,863","12,063",1.07
4161052000,경기도 광주시 송정동,"22,108","9,659",2.29,"11,112","10,996",1.01
