※ 매월 말일자 통계 현황,,,,,,,
,,2021년05월,,,,,
행정기관코드,행정기관,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
1171060000,서울특별시 송파구 석촌동,"31,961","16,907",1.89,"15,252","16,709",0.91
1171061000,서울특별시 송파구 삼전동,"30,950","16,239",1.91,"14,599","16,351",0.89
1171062000,서울특별시 송파구 가락본동,"26,662","11,927",2.24,"13,191","13,471",0.98
1171063100,서울특별시 송파구 가락1동,"27,403","9,811",2.79,"13,281","14,122",0.94
1171063200,서울특별시 송파구 가락2동,"32,673","12,362",2.64,"16,069","16,604",0.97
1171064100,서울특별시 송파구 문정1동,"20,322","8,503",2.39,"10,047","10,275",0.98
1171064200,서울특별시 송파구 문정2동,"29,187","15,669",1.86,"13,461","15,726",0.86
1171064600,서울특별시 송파구 장지동,"29,644","12,052",2.46,"14,315","15,329",0.93
1171064700,서울특별시 송파구 위례동,"32,292","10,460",3.09,"15,704","16,588",0.95
1171065000,서울특별시 송파구 잠실본동,"28,261","15,407",1.83,"13,320","14,941",0.89
1171067000,서울특별시 송파구 잠실2동,"35,484","11,657",3.04,"16,998","18,486",0.92
1171068000,서울특별시 송파구 잠실3동,"34,706","11,954",2.9,"16,518","18,188",0.91
1171069000,서울특별시 송파구 잠실4동,"21,380","7,284",2.94,"10,264","11,116",0.92
1171071000,서울특별시 송파구 잠실6동,"16,894","5,898",2.86,"7,989","8,905",0.9
1171072000,서울특별시 송파구 잠실7동,"9,682","3,411",2.84,"4,533","5,149",0.88
1174000000,서울특별시 강동구 ,"465,459","199,931",2.33,"228,812","236,647",0.97
1174051500,서울특별시 강동구 강일동,"41,714","15,903",2.62,"20,018","21,696",0.92
1174052000,서울특별시 강동구 상일동,"38,536","13,325",2.89,"19,005","19,531",0.97
1174053000,서울특별시 강동구 명일제1동,"26,101","10,112",2.58,"12,717","13,384",0.95
1174054000,서울특별시 강동구 명일제2동,"17,389","6,203",2.8,"8,622","8,767",0.98
1174055000,서울특별시 강동구 고덕제1동,"25,155","8,611",2.92,"12,792","12,363",1.03
1174056000,서울특별시 강동구 고덕제2동,"22,524","8,803",2.56,"11,363","11,161",1.02
1174057000,서울특별시 강동구 암사제1동,"34,878","15,946",2.19,"17,302","17,576",0.98
1174058000,서울특별시 강동구 암사제2동,"15,311","6,321",2.42,"7,413","7,898",0.94
1174059000,서울특별시 강동구 암사제3동,"18,019","6,285",2.87,"8,829","9,190",0.96
1174060000,서울특별시 강동구 천호제1동,"27,128","12,857",2.11,"13,298","13,830",0.96
1174061000,서울특별시 강동구 천호제2동,"33,451","17,327",1.93,"16,488","16,963",0.97
1174062000,서울특별시 강동구 천호제3동,"26,364","13,964",1.89,"12,911","13,453",0.96
1174064000,서울특별시 강동구 성내제1동,"20,207","8,327",2.43,"9,794","10,413",0.94
1174065000,서울특별시 강동구 성내제2동,"24,006","12,885",1.86,"11,785","12,221",0.96
1174066000,서울특별시 강동구 성내제3동,"23,369","10,679",2.19,"11,479","11,890",0.97
1174068500,서울특별시 강동구 길동,"46,083","21,684",2.13,"22,532","23,551",0.96
1174069000,서울특별시 강동구 둔촌제1동,133,81,1.64,76,57,1.33
1174070000,서울특별시 강동구 둔촌제2동,"25,091","10,618",2.36,"12,388","12,703",0.98
2600000000,부산광역시  ,"3,367,334","1,532,053",2.2,"1,648,965","1,718,369",0.96
2611000000,부산광역시 중구 ,"41,209","24,022",1.72,"20,065","21,144",0.95
2611051000,부산광역시 중구 중앙동,"2,517","1,826",1.38,"1,189","1,328",0.9
2611052000,부산광역시 중구 동광동,"2,831","1,852",1.53,"1,435","1,396",1.03
2611053000,부산광역시 중구 대청동,"6,451","3,579",1.8,"3,025","3,426",0.88
2611054500,부산광역시 중구 보수동,"10,703","5,970",1.79,"5,183","5,520",0.94
2611056000,부산광역시 중구 부평동,"4,702","2,826",1.66,"2,212","2,490",0.89
2611057000,부산광역시 중구 광복동,"1,047",649,1.61,531,516,1.03
2611058000,부산광역시 중구 남포동,987,681,1.45,553,434,1.27
2611059000,부산광역시 중구 영주제1동,"4,759","2,953",1.61,"2,441","2,318",1.05
2611060000,부산광역시 중구 영주제2동,"7,212","3,686",1.96,"3,496","3,716",0.94
2614000000,부산광역시 서구 ,"106,556","53,115",2.01,"51,591","54,965",0.94
2614051000,부산광역시 서구 동대신제1동,"5,348","2,606",2.05,"2,585","2,763",0.94
2614052000,부산광역시 서구 동대신제2동,"7,379","3,567",2.07,"3,603","3,776",0.95
2614053000,부산광역시 서구 동대신제3동,"7,674","3,864",1.99,"3,610","4,064",0.89
2614054000,부산광역시 서구 서대신제1동,"13,675","6,135",2.23,"6,454","7,221",0.89
2614056000,부산광역시 서구 서대신제3동,"8,547","3,519",2.43,"3,921","4,626",0.85
2614057000,부산광역시 서구 서대신제4동,"7,801","3,147",2.48,"3,761","4,040",0.93
2614059000,부산광역시 서구 부민동,"7,704","4,139",1.86,"3,648","4,056",0.9
2614061500,부산광역시 서구 아미동,"6,804","3,917",1.74,"3,456","3,348",1.03
2614063000,부산광역시 서구 초장동,"4,429","2,623",1.69,"2,239","2,190",1.02
2614064000,부산광역시 서구 충무동,"9,933","5,486",1.81,"4,741","5,192",0.91
2614065000,부산광역시 서구 남부민제1동,"4,930","2,757",1.79,"2,512","2,418",1.04
2614066000,부산광역시 서구 남부민제2동,"9,351","4,948",1.89,"4,682","4,669",1
2614068000,부산광역시 서구 암남동,"12,981","6,407",2.03,"6,379","6,602",0.97
2617000000,부산광역시 동구 ,"88,080","45,918",1.92,"43,109","44,971",0.96
